13.453624 61.032778	1.67e+03  3.63e+04  3.73e+04	 0.00 -21.35	 0.5385 0.5233 0.7402	
13.453624 61.032778	6.70e+02  3.70e+04  3.76e+04	 0.00 -0.67	 0.8385 0.8353 1.0000	
13.453624 61.032778	1.59e+03  3.64e+04  3.73e+04	 0.00 -15.00	 -0.7912 0.8806 -0.9295	
13.453624 61.032778	1.36e+03  3.64e+04  3.75e+04	 0.00 12.72	 0.0614 0.1417 -0.9100	
13.453624 61.032778	1.24e+03  3.64e+04  3.76e+04	 0.00 1.31	 -0.6559 0.6446 -0.9995	
13.453624 61.032778	1.90e+03  3.58e+04  3.76e+04	 0.00 3.38	 -0.0846 0.0567 -0.9996	
13.453624 61.032778	1.71e+03  3.60e+04  3.76e+04	 0.00 -6.38	 0.2450 -0.3493 -0.9841	
13.453624 61.032778	2.03e+03  3.59e+04  3.73e+04	 0.00 -22.37	 -0.0133 -0.6861 -0.6748	
13.453624 61.032778	4.58e+02  3.72e+04  3.76e+04	 0.00 4.26	 0.6045 -0.7491 -0.9791	
13.453624 61.032778	2.09e+03  3.60e+04  3.72e+04	 0.00 20.15	 0.2937 -0.2690 0.8398	
13.453624 61.032778	6.09e+02  3.70e+04  3.76e+04	 0.00 2.21	 -0.4349 -0.4366 0.9966	
13.453624 61.032778	1.45e+03  3.66e+04  3.73e+04	 0.00 20.28	 -0.8504 -0.4082 0.4224	
13.453624 61.032778	4.00e+02  3.73e+04  3.76e+04	 0.00 11.78	 -0.0083 -0.5639 0.5104	
13.453624 61.032778	1.76e+03  3.60e+04  3.76e+04	 0.00 7.65	 -0.0794 -0.0648 -0.9875	
13.453624 61.032778	1.61e+03  3.61e+04  3.75e+04	 0.00 -13.20	 0.6757 0.8824 0.9288	
13.453624 61.032778	1.96e+03  3.61e+04  3.73e+04	 0.00 -21.14	 -0.1127 -0.5256 0.7301	
